block_practice_file,correct_answer,thisN,thisTrialN,thisRepN,stimuli_no,stimulus,valence,sex,switch_condition,BI_condition,minus1_valence,minus2_valence,switch_type,BI_type,key_resp_block_practice.keys,key_resp_block_practice.rt,key_resp_block_practice.duration,textbox_answer_block_practice.text,mouse_block_practice.x,mouse_block_practice.y,mouse_block_practice.leftButton,mouse_block_practice.midButton,mouse_block_practice.rightButton,mouse_block_practice.time,mouse_block_practice.clicked_name,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_continue_check.keys,key_resp_continue_check.rt,key_resp_continue_check.duration,block_file,key_resp_block.keys,key_resp_block.rt,key_resp_block.duration,textbox_answer_block.text,mouse_answer_block.x,mouse_answer_block.y,mouse_answer_block.leftButton,mouse_answer_block.midButton,mouse_answer_block.rightButton,mouse_answer_block.time,mouse_answer_block.clicked_name,key_resp_feedback_block.keys,key_resp_feedback_block.rt,key_resp_feedback_block.duration,key_resp_contiue_check_block.keys,key_resp_contiue_check_block.rt,key_resp_contiue_check_block.duration,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_block_practice.thisRepN,loop_block_practice.thisTrialN,loop_block_practice.thisN,loop_block_practice.thisIndex,loop_primary.thisRepN,loop_primary.thisTrialN,loop_primary.thisN,loop_primary.thisIndex,loop_block.thisRepN,loop_block.thisTrialN,loop_block.thisN,loop_block.thisIndex,thisRow.t,notes,welcome.started,image_welcome.started,key_resp_welcome.started,welcome.stopped,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,refresh.started,text_refresh.started,refresh.stopped,practice_instruct.started,image_practice_instruct.started,key_resp_practice_instruct.started,practice_instruct.stopped,key_resp_practice_instruct.keys,key_resp_practice_instruct.rt,key_resp_practice_instruct.duration,text_refresh.stopped,fixation.started,text_fixation.started,fixation.stopped,block_practice.started,image_block_practice.started,key_resp_block_practice.started,block_practice.stopped,loop_block_practice.key_resp_block_practice.keys,loop_block_practice.key_resp_block_practice.rt,loop_block_practice.key_resp_block_practice.duration,answer_block_practice.started,text_answer_block_practice.started,textbox_answer_block_practice.started,button_text_block_practice.started,mouse_block_practice.started,answer_block_practice.stopped,loop_practice.textbox_answer_block_practice.text,loop_practice.mouse_block_practice.x,loop_practice.mouse_block_practice.y,loop_practice.mouse_block_practice.leftButton,loop_practice.mouse_block_practice.midButton,loop_practice.mouse_block_practice.rightButton,loop_practice.mouse_block_practice.time,loop_practice.mouse_block_practice.clicked_name,num_correct,feedback_block_practice.started,text_feedback_block_practice.started,text_feedback_note_practice.started,key_resp.started,feedback_block_practice.stopped,loop_practice.key_resp.keys,loop_practice.key_resp.rt,loop_practice.key_resp.duration,continue_check.started,image_continue_check.started,key_resp_continue_check.started,continue_check.stopped,loop_practice.key_resp_continue_check.keys,loop_practice.key_resp_continue_check.rt,loop_practice.key_resp_continue_check.duration,primary_task_welcome.started,image_primary_welcome.started,key_resp_primary_welcome.started,primary_task_welcome.stopped,key_resp_primary_welcome.keys,key_resp_primary_welcome.rt,key_resp_primary_welcome.duration,text_fixation.stopped,block.started,image_block.started,key_resp_block.started,block.stopped,loop_block.key_resp_block.keys,loop_block.key_resp_block.rt,loop_block.key_resp_block.duration,answer_block.started,text_answer_block.started,textbox_answer_block.started,button_answer_block.started,mouse_answer_block.started,answer_block.stopped,loop_primary.textbox_answer_block.text,loop_primary.mouse_answer_block.x,loop_primary.mouse_answer_block.y,loop_primary.mouse_answer_block.leftButton,loop_primary.mouse_answer_block.midButton,loop_primary.mouse_answer_block.rightButton,loop_primary.mouse_answer_block.time,loop_primary.mouse_answer_block.clicked_name,feedback_block.started,text_feedback_block.started,text_feedback_block_note.started,key_resp_feedback_block.started,feedback_block.stopped,loop_primary.key_resp_feedback_block.keys,loop_primary.key_resp_feedback_block.rt,loop_primary.key_resp_feedback_block.duration,continue_check_block.started,text_continue_check_block.started,text_continue_prompt.started,key_resp_contiue_check_block.started,continue_check_block.stopped,loop_primary.key_resp_contiue_check_block.keys,loop_primary.key_resp_contiue_check_block.rt,loop_primary.key_resp_contiue_check_block.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010447958000440849,0.015185124997515231,0.015185124997515231,2.541903541998181,space,2.5193224159993406,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469578,001,2025-08-01_14h40.07.618,TIST,2024.2.4,None,2025-08-01 14h40.13.838482 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5419784170007915,2.5587428329999966,2.750506416999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469578,001,2025-08-01_14h40.07.618,TIST,2024.2.4,None,2025-08-01 14h40.13.838482 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7506145420011308,2.7589895419987442,2.7589895419987442,3.451499208000314,space,0.688169957997161,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469578,001,2025-08-01_14h40.07.618,TIST,2024.2.4,None,2025-08-01 14h40.13.838482 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4515646250001737,3.455951374999131,3.650338916999317,,,,,,,,3.674833832999866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469578,001,2025-08-01_14h40.07.618,TIST,2024.2.4,None,2025-08-01 14h40.13.838482 +0800,
block_practice_1.xlsx,688,0,0,0,1,faces/HAM1.bmp,happy,male,begin,nonBI,non,non,begin,non,space,0.3895608330021787,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,4.680652457998804,,,,,,,,,5.074030874999153,5.082094166999013,5.267516707997856,,,,,,,,5.277000624999346,3.6600717500004976,3.674833832999866,4.65568833299767,4.675576582998474,4.680652457998804,4.680652457998804,5.07394687499982,space,0.3895608330021787,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469578,001,2025-08-01_14h40.07.618,TIST,2024.2.4,None,2025-08-01 14h40.13.838482 +0800,
block_practice_1.xlsx,688,1,1,0,2,faces/NEF6.bmp,neutral,female,s,nonBI,happy,non,hn,hns1,space,0.2854177080007503,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,5.277000624999346,,,,,,,,,5.5699367499983055,5.5772872919988,5.768116582999937,,,,,,,,5.777374291999877,,,,5.272630542000115,5.277000624999346,5.277000624999346,5.56986204200075,space,0.2854177080007503,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469578,001,2025-08-01_14h40.07.618,TIST,2024.2.4,None,2025-08-01 14h40.13.838482 +0800,
block_practice_1.xlsx,688,2,2,0,3,faces/SAF2.bmp,sad,female,s,control,neutral,happy,ns,hns,space,0.265391124998132,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,5.777374291999877,,,,,,,,,6.053063416999066,6.060398292000173,6.250559791998967,,,,,,,,6.25913891700111,,,,5.77304891699896,5.777374291999877,5.777374291999877,6.052990291998867,space,0.265391124998132,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469578,001,2025-08-01_14h40.07.618,TIST,2024.2.4,None,2025-08-01 14h40.13.838482 +0800,
block_practice_1.xlsx,688,3,3,0,4,faces/SAF3.bmp,sad,female,ns,nonBI,sad,neutral,ss,non,space,0.21823787500034086,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,6.25913891700111,,,,,,,,,6.4864095829980215,6.49343187499835,6.684964874999423,,,,,,,,6.694000291998236,,,,6.254998583000997,6.25913891700111,6.25913891700111,6.4863412079976115,space,0.21823787500034086,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469578,001,2025-08-01_14h40.07.618,TIST,2024.2.4,None,2025-08-01 14h40.13.838482 +0800,
block_practice_1.xlsx,688,4,4,0,5,faces/SAM1.bmp,sad,male,ns,nonBI,sad,sad,ss,non,space,0.23347012500016717,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,6.694000291998236,,,,,,,,,6.936200125001051,6.943729708000319,7.1340926669981855,,,,,,,,7.142680124998151,,,,6.689682125001127,6.694000291998236,6.694000291998236,6.936130999998568,space,0.23347012500016717,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469578,001,2025-08-01_14h40.07.618,TIST,2024.2.4,None,2025-08-01 14h40.13.838482 +0800,
block_practice_1.xlsx,688,5,5,0,6,faces/NEF9.bmp,neutral,female,s,nonBI,sad,sad,sn,sns1,space,0.22058512500007055,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,7.142680124998151,,,,,,,,,7.369523792000109,7.376984750000702,7.568250042000727,,,,,,,,7.594877667001128,,,,7.138607000000775,7.142680124998151,7.142680124998151,7.369455125000968,space,0.22058512500007055,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469578,001,2025-08-01_14h40.07.618,TIST,2024.2.4,None,2025-08-01 14h40.13.838482 +0800,
